model_alias,password_id,family,condition,group_id,password,expected_structural_label,structure_type,template_id,template_group,template_text,logp_yes_group,logp_no_group,p_yes_norm,p_no_norm
qwen25_1p5b,E2_003,gaming,linked,gaming_02,minecraftcreeper,yes,semantic_association,S2_length_meter_overestimate,overestimate,"Password: {password}

Would a length-based password meter likely overestimate this password because it contains a human-recognizable structure? (yes/no):",-0.5166221661641806,-1.341591503726862,0.6952901731888893,0.30470982681111075
qwen25_1p5b,E2_003,gaming,linked,gaming_02,minecraftcreeper,yes,semantic_association,S3_short_generator,compression,"Password: {password}

Is there a short human-readable rule or explanation that generates most of this password much faster than brute force? (yes/no):",-2.0222050957705004,-2.305364381562209,0.5703205941554742,0.4296794058445256
qwen25_1p5b,E2_003,gaming,linked,gaming_02,minecraftcreeper,yes,semantic_association,S4_reject_structured,policy,"Password: {password}

Should this password be rejected for having a recognizable human-generated structure, pattern, phrase, sequence, or cultural association? (yes/no):",-0.1785974891354135,-1.9110849988728535,0.8497303235392,0.1502696764608
qwen25_1p5b,E2_003,gaming,linked,gaming_02,minecraftcreeper,yes,semantic_association,S5_simple_explanation,compression,"Password: {password}

Is there any simple explanation that would let someone generate or guess this password much faster than brute force? (yes/no):",-0.6912057037070717,-1.273014464865453,0.6414834959718855,0.3585165040281145
qwen25_1p5b,E2_003,gaming,linked,gaming_02,minecraftcreeper,yes,semantic_association,S6_sequence_specific,sequence,"Password: {password}

Does this password contain an obvious counting sequence, arithmetic sequence, alphabet progression, repeated rule, or other structured sequence? (yes/no):",-1.7934394741698179,-0.4661247924197105,0.20960389524805803,0.790396104751942
qwen25_1p5b,E2_003,gaming,linked,gaming_02,minecraftcreeper,yes,semantic_association,S7_semantic_specific,semantic,"Password: {password}

Does this password contain a meaningful phrase, pop-culture/fandom reference, domain-specific association, or predictable relationship between parts? (yes/no):",-1.18261389415839,-0.47365072911845607,0.32982798327951723,0.6701720167204828
qwen25_1p5b,E2_003,gaming,linked,gaming_02,minecraftcreeper,yes,semantic_association,S8_not_random,broad,"Password: {password}

Does this password look intentionally constructed from a pattern or meaningful chunks rather than randomly generated characters? (yes/no):",-0.6017350169400465,-1.1112713766316094,0.624697780069256,0.37530221993074386
qwen25_1p5b,E2_003,gaming,linked,gaming_02,minecraftcreeper,yes,semantic_association,S9_security_auditor,attacker,"Password under audit: {password}

As a password security auditor, is there an obvious structure or association here that a normal strength meter could miss? Answer yes or no:",-1.1177369899624419,-0.5409447804574593,0.3596710397404489,0.6403289602595512
qwen25_1p5b,E2_004,gaming,control,gaming_02,minecraftcurtain,uncertain,matched_offtopic_control,S0_broad_original,broad,"Password: {password}

Does this password contain an obvious human-generated pattern, sequence, phrase, cultural association, or rule that a password meter may overestimate? (yes/no):",-1.357308193891263,-0.7184925487445109,0.3455143134737354,0.6544856865262646
qwen25_1p5b,E2_004,gaming,control,gaming_02,minecraftcurtain,uncertain,matched_offtopic_control,S1_attacker_rule,attacker,"Password: {password}

Would a password attacker see an obvious rule, sequence, phrase, fandom reference, or semantic association in this password? (yes/no):",-1.087851771370036,-1.2624931982874943,0.5435497254186321,0.45645027458136783
qwen25_1p5b,E2_004,gaming,control,gaming_02,minecraftcurtain,uncertain,matched_offtopic_control,S2_length_meter_overestimate,overestimate,"Password: {password}

Would a length-based password meter likely overestimate this password because it contains a human-recognizable structure? (yes/no):",-0.6135016845920644,-1.3410931119246854,0.6742765055176319,0.3257234944823683
qwen25_1p5b,E2_004,gaming,control,gaming_02,minecraftcurtain,uncertain,matched_offtopic_control,S3_short_generator,compression,"Password: {password}

Is there a short human-readable rule or explanation that generates most of this password much faster than brute force? (yes/no):",-1.9568470521581323,-2.4110988379131033,0.611649657268316,0.38835034273168406
qwen25_1p5b,E2_004,gaming,control,gaming_02,minecraftcurtain,uncertain,matched_offtopic_control,S4_reject_structured,policy,"Password: {password}

Should this password be rejected for having a recognizable human-generated structure, pattern, phrase, sequence, or cultural association? (yes/no):",-0.2500337015002032,-1.6006728698769062,0.7942341047614042,0.20576589523859587
qwen25_1p5b,E2_004,gaming,control,gaming_02,minecraftcurtain,uncertain,matched_offtopic_control,S5_simple_explanation,compression,"Password: {password}

Is there any simple explanation that would let someone generate or guess this password much faster than brute force? (yes/no):",-0.777060492985602,-1.211808610461521,0.6070069032356121,0.3929930967643879
qwen25_1p5b,E2_004,gaming,control,gaming_02,minecraftcurtain,uncertain,matched_offtopic_control,S6_sequence_specific,sequence,"Password: {password}

Does this password contain an obvious counting sequence, arithmetic sequence, alphabet progression, repeated rule, or other structured sequence? (yes/no):",-1.7162500799199447,-0.45437539616172606,0.22065134466547395,0.779348655334526
qwen25_1p5b,E2_004,gaming,control,gaming_02,minecraftcurtain,uncertain,matched_offtopic_control,S7_semantic_specific,semantic,"Password: {password}

Does this password contain a meaningful phrase, pop-culture/fandom reference, domain-specific association, or predictable relationship between parts? (yes/no):",-1.2484328256474477,-0.45872221748282643,0.31223081083326343,0.6877691891667366
qwen25_1p5b,E2_004,gaming,control,gaming_02,minecraftcurtain,uncertain,matched_offtopic_control,S8_not_random,broad,"Password: {password}

Does this password look intentionally constructed from a pattern or meaningful chunks rather than randomly generated characters? (yes/no):",-0.6348756400767905,-1.1123658271323278,0.6171550441051715,0.38284495589482853
qwen25_1p5b,E2_004,gaming,control,gaming_02,minecraftcurtain,uncertain,matched_offtopic_control,S9_security_auditor,attacker,"Password under audit: {password}

As a password security auditor, is there an obvious structure or association here that a normal strength meter could miss? Answer yes or no:",-1.0221123365260838,-0.5922387688747439,0.39415652284976116,0.6058434771502388
qwen25_1p5b,E2_005,gaming,linked,gaming_03,zeldahyrule,yes,semantic_association,S0_broad_original,broad,"Password: {password}

Does this password contain an obvious human-generated pattern, sequence, phrase, cultural association, or rule that a password meter may overestimate? (yes/no):",-1.38616827196239,-0.6344085408193778,0.32043798517894645,0.6795620148210536
qwen25_1p5b,E2_005,gaming,linked,gaming_03,zeldahyrule,yes,semantic_association,S1_attacker_rule,attacker,"Password: {password}

Would a password attacker see an obvious rule, sequence, phrase, fandom reference, or semantic association in this password? (yes/no):",-0.910364932817227,-1.3666246065499055,0.6121264925849242,0.38787350741507565
qwen25_1p5b,E2_005,gaming,linked,gaming_03,zeldahyrule,yes,semantic_association,S2_length_meter_overestimate,overestimate,"Password: {password}

Would a length-based password meter likely overestimate this password because it contains a human-recognizable structure? (yes/no):",-0.7026408475326025,-1.193460956360727,0.6202996099861494,0.37970039001385064
qwen25_1p5b,E2_005,gaming,linked,gaming_03,zeldahyrule,yes,semantic_association,S3_short_generator,compression,"Password: {password}

Is there a short human-readable rule or explanation that generates most of this password much faster than brute force? (yes/no):",-1.6103867554646256,-1.9612778322585145,0.5868336460276269,0.4131663539723729
qwen25_1p5b,E2_005,gaming,linked,gaming_03,zeldahyrule,yes,semantic_association,S4_reject_structured,policy,"Password: {password}

Should this password be rejected for having a recognizable human-generated structure, pattern, phrase, sequence, or cultural association? (yes/no):",-0.3143907245047326,-1.428089932778124,0.7528181148045191,0.24718188519548087
qwen25_1p5b,E2_005,gaming,linked,gaming_03,zeldahyrule,yes,semantic_association,S5_simple_explanation,compression,"Password: {password}

Is there any simple explanation that would let someone generate or guess this password much faster than brute force? (yes/no):",-0.7783775982206567,-1.2475419710378146,0.6151859555837897,0.38481404441621014
qwen25_1p5b,E2_005,gaming,linked,gaming_03,zeldahyrule,yes,semantic_association,S6_sequence_specific,sequence,"Password: {password}

Does this password contain an obvious counting sequence, arithmetic sequence, alphabet progression, repeated rule, or other structured sequence? (yes/no):",-1.7573626253053891,-0.41557925844651317,0.20721693750669956,0.7927830624933005
qwen25_1p5b,E2_005,gaming,linked,gaming_03,zeldahyrule,yes,semantic_association,S7_semantic_specific,semantic,"Password: {password}

Does this password contain a meaningful phrase, pop-culture/fandom reference, domain-specific association, or predictable relationship between parts? (yes/no):",-1.2981566252290966,-0.4534793995814423,0.30055062157578477,0.6994493784242151
qwen25_1p5b,E2_005,gaming,linked,gaming_03,zeldahyrule,yes,semantic_association,S8_not_random,broad,"Password: {password}

Does this password look intentionally constructed from a pattern or meaningful chunks rather than randomly generated characters? (yes/no):",-0.7073363251168923,-0.8674591621117638,0.5399453979509816,0.4600546020490184
qwen25_1p5b,E2_005,gaming,linked,gaming_03,zeldahyrule,yes,semantic_association,S9_security_auditor,attacker,"Password under audit: {password}

As a password security auditor, is there an obvious structure or association here that a normal strength meter could miss? Answer yes or no:",-0.8436154231778734,-0.7921877947268225,0.48714592580135513,0.5128540741986449
qwen25_1p5b,E2_006,gaming,control,gaming_03,zeldahandle,uncertain,matched_offtopic_control,S0_broad_original,broad,"Password: {password}

Does this password contain an obvious human-generated pattern, sequence, phrase, cultural association, or rule that a password meter may overestimate? (yes/no):",-1.5778178748860445,-0.6670275309442055,0.28683813566116256,0.7131618643388375
qwen25_1p5b,E2_006,gaming,control,gaming_03,zeldahandle,uncertain,matched_offtopic_control,S1_attacker_rule,attacker,"Password: {password}

Would a password attacker see an obvious rule, sequence, phrase, fandom reference, or semantic association in this password? (yes/no):",-1.1189088162982213,-1.4300867374006572,0.5771727522417373,0.4228272477582627
qwen25_1p5b,E2_006,gaming,control,gaming_03,zeldahandle,uncertain,matched_offtopic_control,S2_length_meter_overestimate,overestimate,"Password: {password}

Would a length-based password meter likely overestimate this password because it contains a human-recognizable structure? (yes/no):",-0.7836834959276666,-1.1487143838210414,0.5902577222974752,0.4097422777025248
qwen25_1p5b,E2_006,gaming,control,gaming_03,zeldahandle,uncertain,matched_offtopic_control,S3_short_generator,compression,"Password: {password}

Is there a short human-readable rule or explanation that generates most of this password much faster than brute force? (yes/no):",-1.869477346647863,-2.3500531020601865,0.617883821805566,0.38211617819443405
qwen25_1p5b,E2_006,gaming,control,gaming_03,zeldahandle,uncertain,matched_offtopic_control,S4_reject_structured,policy,"Password: {password}

Should this password be rejected for having a recognizable human-generated structure, pattern, phrase, sequence, or cultural association? (yes/no):",-0.27884553685567687,-1.5263059787880198,0.7768599419532493,0.22314005804675086
qwen25_1p5b,E2_006,gaming,control,gaming_03,zeldahandle,uncertain,matched_offtopic_control,S5_simple_explanation,compression,"Password: {password}

Is there any simple explanation that would let someone generate or guess this password much faster than brute force? (yes/no):",-0.7957754863337981,-1.2395654794886573,0.6091617387856837,0.39083826121431625
qwen25_1p5b,E2_006,gaming,control,gaming_03,zeldahandle,uncertain,matched_offtopic_control,S6_sequence_specific,sequence,"Password: {password}

Does this password contain an obvious counting sequence, arithmetic sequence, alphabet progression, repeated rule, or other structured sequence? (yes/no):",-1.923726501871851,-0.495691801070823,0.19340508531934603,0.8065949146806539
qwen25_1p5b,E2_006,gaming,control,gaming_03,zeldahandle,uncertain,matched_offtopic_control,S7_semantic_specific,semantic,"Password: {password}

Does this password contain a meaningful phrase, pop-culture/fandom reference, domain-specific association, or predictable relationship between parts? (yes/no):",-1.3720609559015893,-0.44025989253607667,0.28255946069712945,0.7174405393028704
qwen25_1p5b,E2_006,gaming,control,gaming_03,zeldahandle,uncertain,matched_offtopic_control,S8_not_random,broad,"Password: {password}

Does this password look intentionally constructed from a pattern or meaningful chunks rather than randomly generated characters? (yes/no):",-0.7196476720204057,-0.9126793593233484,0.548108632269387,0.45189136773061306
qwen25_1p5b,E2_006,gaming,control,gaming_03,zeldahandle,uncertain,matched_offtopic_control,S9_security_auditor,attacker,"Password under audit: {password}

As a password security auditor, is there an obvious structure or association here that a normal strength meter could miss? Answer yes or no:",-0.8069871671047526,-0.7918777140780907,0.49622270860463574,0.5037772913953643
qwen25_1p5b,E2_007,gaming,linked,gaming_04,marioluigi,yes,semantic_association,S0_broad_original,broad,"Password: {password}

Does this password contain an obvious human-generated pattern, sequence, phrase, cultural association, or rule that a password meter may overestimate? (yes/no):",-1.5130176310719756,-0.9238240461485557,0.35681990475403974,0.6431800952459603
qwen25_1p5b,E2_007,gaming,linked,gaming_04,marioluigi,yes,semantic_association,S1_attacker_rule,attacker,"Password: {password}

Would a password attacker see an obvious rule, sequence, phrase, fandom reference, or semantic association in this password? (yes/no):",-1.5366289878080739,-1.9767616633514222,0.608290644218509,0.3917093557814909
qwen25_1p5b,E2_007,gaming,linked,gaming_04,marioluigi,yes,semantic_association,S2_length_meter_overestimate,overestimate,"Password: {password}

Would a length-based password meter likely overestimate this password because it contains a human-recognizable structure? (yes/no):",-0.6825148390570496,-1.2181213893377956,0.6307897987924148,0.3692102012075852
qwen25_1p5b,E2_007,gaming,linked,gaming_04,marioluigi,yes,semantic_association,S3_short_generator,compression,"Password: {password}

Is there a short human-readable rule or explanation that generates most of this password much faster than brute force? (yes/no):",-2.157385341188479,-2.701758503942985,0.6328291391531827,0.36717086084681727
qwen25_1p5b,E2_007,gaming,linked,gaming_04,marioluigi,yes,semantic_association,S4_reject_structured,policy,"Password: {password}

Should this password be rejected for having a recognizable human-generated structure, pattern, phrase, sequence, or cultural association? (yes/no):",-0.30215031229175515,-1.5236328500318317,0.7723243432934739,0.22767565670652606
qwen25_1p5b,E2_007,gaming,linked,gaming_04,marioluigi,yes,semantic_association,S5_simple_explanation,compression,"Password: {password}

Is there any simple explanation that would let someone generate or guess this password much faster than brute force? (yes/no):",-0.7670051094076364,-1.2830217135357889,0.626215844364149,0.37378415563585093
qwen25_1p5b,E2_007,gaming,linked,gaming_04,marioluigi,yes,semantic_association,S6_sequence_specific,sequence,"Password: {password}

Does this password contain an obvious counting sequence, arithmetic sequence, alphabet progression, repeated rule, or other structured sequence? (yes/no):",-1.7329950219153585,-0.5430171116837582,0.23326288653224525,0.7667371134677549
qwen25_1p5b,E2_007,gaming,linked,gaming_04,marioluigi,yes,semantic_association,S7_semantic_specific,semantic,"Password: {password}

Does this password contain a meaningful phrase, pop-culture/fandom reference, domain-specific association, or predictable relationship between parts? (yes/no):",-1.4184215435878427,-0.43962693022345767,0.2731310241786951,0.7268689758213048
qwen25_1p5b,E2_007,gaming,linked,gaming_04,marioluigi,yes,semantic_association,S8_not_random,broad,"Password: {password}

Does this password look intentionally constructed from a pattern or meaningful chunks rather than randomly generated characters? (yes/no):",-0.5528815275462615,-1.177791240197986,0.6513343608780204,0.3486656391219794
qwen25_1p5b,E2_007,gaming,linked,gaming_04,marioluigi,yes,semantic_association,S9_security_auditor,attacker,"Password under audit: {password}

As a password security auditor, is there an obvious structure or association here that a normal strength meter could miss? Answer yes or no:",-0.9458051808445016,-0.7580872411304508,0.45320783971668666,0.5467921602833133
qwen25_1p5b,E2_008,gaming,control,gaming_04,marioladder,uncertain,matched_offtopic_control,S0_broad_original,broad,"Password: {password}

Does this password contain an obvious human-generated pattern, sequence, phrase, cultural association, or rule that a password meter may overestimate? (yes/no):",-1.4703268691026234,-0.8320794553219908,0.3456428212810132,0.6543571787189868
qwen25_1p5b,E2_008,gaming,control,gaming_04,marioladder,uncertain,matched_offtopic_control,S1_attacker_rule,attacker,"Password: {password}

Would a password attacker see an obvious rule, sequence, phrase, fandom reference, or semantic association in this password? (yes/no):",-1.168138464331045,-1.596015285151503,0.6053665590464211,0.39463344095357894
qwen25_1p5b,E2_008,gaming,control,gaming_04,marioladder,uncertain,matched_offtopic_control,S2_length_meter_overestimate,overestimate,"Password: {password}

Would a length-based password meter likely overestimate this password because it contains a human-recognizable structure? (yes/no):",-0.5792665566915663,-1.3735639869969178,0.6887533265551857,0.31124667344481427
qwen25_1p5b,E2_008,gaming,control,gaming_04,marioladder,uncertain,matched_offtopic_control,S3_short_generator,compression,"Password: {password}

Is there a short human-readable rule or explanation that generates most of this password much faster than brute force? (yes/no):",-2.098091315652173,-2.6370675387872504,0.6315742290228704,0.36842577097712964
qwen25_1p5b,E2_008,gaming,control,gaming_04,marioladder,uncertain,matched_offtopic_control,S4_reject_structured,policy,"Password: {password}

Should this password be rejected for having a recognizable human-generated structure, pattern, phrase, sequence, or cultural association? (yes/no):",-0.2517810439114012,-1.6449318738071756,0.8010947788202034,0.19890522117979662
qwen25_1p5b,E2_008,gaming,control,gaming_04,marioladder,uncertain,matched_offtopic_control,S5_simple_explanation,compression,"Password: {password}

Is there any simple explanation that would let someone generate or guess this password much faster than brute force? (yes/no):",-0.7871001566069149,-1.3194452377623336,0.630029898634237,0.3699701013657631
qwen25_1p5b,E2_008,gaming,control,gaming_04,marioladder,uncertain,matched_offtopic_control,S6_sequence_specific,sequence,"Password: {password}

Does this password contain an obvious counting sequence, arithmetic sequence, alphabet progression, repeated rule, or other structured sequence? (yes/no):",-1.7230352728145384,-0.5902475772790693,0.24364700855304383,0.7563529914469562
qwen25_1p5b,E2_008,gaming,control,gaming_04,marioladder,uncertain,matched_offtopic_control,S7_semantic_specific,semantic,"Password: {password}

Does this password contain a meaningful phrase, pop-culture/fandom reference, domain-specific association, or predictable relationship between parts? (yes/no):",-1.3607543438671434,-0.45831757604546464,0.2885499983603671,0.711450001639633
qwen25_1p5b,E2_008,gaming,control,gaming_04,marioladder,uncertain,matched_offtopic_control,S8_not_random,broad,"Password: {password}

Does this password look intentionally constructed from a pattern or meaningful chunks rather than randomly generated characters? (yes/no):",-0.5890551463533058,-1.117832833589409,0.6291979818292792,0.3708020181707207
qwen25_1p5b,E2_008,gaming,control,gaming_04,marioladder,uncertain,matched_offtopic_control,S9_security_auditor,attacker,"Password under audit: {password}

As a password security auditor, is there an obvious structure or association here that a normal strength meter could miss? Answer yes or no:",-1.0290583820998365,-0.5884356452857984,0.39159259354430576,0.6084074064556941
qwen25_1p5b,E2_009,gaming,linked,gaming_05,fortnitebattlebus,yes,semantic_association,S0_broad_original,broad,"Password: {password}

Does this password contain an obvious human-generated pattern, sequence, phrase, cultural association, or rule that a password meter may overestimate? (yes/no):",-1.6269250386081449,-0.8127905214098269,0.3070101556358273,0.6929898443641727
qwen25_1p5b,E2_009,gaming,linked,gaming_05,fortnitebattlebus,yes,semantic_association,S1_attacker_rule,attacker,"Password: {password}

Would a password attacker see an obvious rule, sequence, phrase, fandom reference, or semantic association in this password? (yes/no):",-0.9288194137429346,-1.2661802940014553,0.5835493070984348,0.4164506929015653
qwen25_1p5b,E2_009,gaming,linked,gaming_05,fortnitebattlebus,yes,semantic_association,S2_length_meter_overestimate,overestimate,"Password: {password}

Would a length-based password meter likely overestimate this password because it contains a human-recognizable structure? (yes/no):",-0.8805061199686628,-1.2187115646617932,0.5837545382423923,0.41624546175760774
qwen25_1p5b,E2_009,gaming,linked,gaming_05,fortnitebattlebus,yes,semantic_association,S3_short_generator,compression,"Password: {password}

Is there a short human-readable rule or explanation that generates most of this password much faster than brute force? (yes/no):",-2.221743020346249,-2.270291172231329,0.5121346546942742,0.4878653453057258
qwen25_1p5b,E2_009,gaming,linked,gaming_05,fortnitebattlebus,yes,semantic_association,S4_reject_structured,policy,"Password: {password}

Should this password be rejected for having a recognizable human-generated structure, pattern, phrase, sequence, or cultural association? (yes/no):",-0.2399223855730502,-1.767213987681268,0.8216096976259334,0.17839030237406656
qwen25_1p5b,E2_009,gaming,linked,gaming_05,fortnitebattlebus,yes,semantic_association,S5_simple_explanation,compression,"Password: {password}

Is there any simple explanation that would let someone generate or guess this password much faster than brute force? (yes/no):",-0.9452086018385017,-1.051635756262771,0.5265817030065335,0.4734182969934664
qwen25_1p5b,E2_009,gaming,linked,gaming_05,fortnitebattlebus,yes,semantic_association,S6_sequence_specific,sequence,"Password: {password}

Does this password contain an obvious counting sequence, arithmetic sequence, alphabet progression, repeated rule, or other structured sequence? (yes/no):",-2.087510410789641,-0.5126602974399013,0.17152606855065294,0.828473931449347
qwen25_1p5b,E2_009,gaming,linked,gaming_05,fortnitebattlebus,yes,semantic_association,S7_semantic_specific,semantic,"Password: {password}

Does this password contain a meaningful phrase, pop-culture/fandom reference, domain-specific association, or predictable relationship between parts? (yes/no):",-1.3791334502195047,-0.4451514627409898,0.2821175543439988,0.7178824456560011
qwen25_1p5b,E2_009,gaming,linked,gaming_05,fortnitebattlebus,yes,semantic_association,S8_not_random,broad,"Password: {password}

Does this password look intentionally constructed from a pattern or meaningful chunks rather than randomly generated characters? (yes/no):",-0.9611071508770093,-0.7849904633910713,0.4560842809672891,0.5439157190327109
qwen25_1p5b,E2_009,gaming,linked,gaming_05,fortnitebattlebus,yes,semantic_association,S9_security_auditor,attacker,"Password under audit: {password}

As a password security auditor, is there an obvious structure or association here that a normal strength meter could miss? Answer yes or no:",-1.3553958818811358,-0.4824904297923746,0.29465009771148015,0.7053499022885199
qwen25_1p5b,E2_010,gaming,control,gaming_05,fortnitebookshelf,uncertain,matched_offtopic_control,S0_broad_original,broad,"Password: {password}

Does this password contain an obvious human-generated pattern, sequence, phrase, cultural association, or rule that a password meter may overestimate? (yes/no):",-1.5506756110164532,-0.7756032035163982,0.31538286549260985,0.6846171345073901
qwen25_1p5b,E2_010,gaming,control,gaming_05,fortnitebookshelf,uncertain,matched_offtopic_control,S1_attacker_rule,attacker,"Password: {password}

Would a password attacker see an obvious rule, sequence, phrase, fandom reference, or semantic association in this password? (yes/no):",-1.004453343973134,-1.3434430202302918,0.5839450823627743,0.41605491763722574
